Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,03-May-2024,30-May-2024,CE,22750.00,334.00,369.95,191.65,218.60,213.35,218.60,20536.00,118104.65,1306.15,213325.00,66400.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22800.00,311.05,339.00,170.60,197.25,193.00,197.25,134660.00,775986.11,8424.11,1062650.00,-6875.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22850.00,284.80,308.50,153.20,177.55,173.75,177.55,10954.00,63190.21,615.49,75450.00,-5550.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22900.00,273.40,281.60,135.20,157.55,153.50,157.55,57712.00,333408.16,3006.96,470525.00,33550.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,22950.00,236.00,254.25,119.50,141.15,137.70,141.15,7823.00,45224.11,339.65,68050.00,-1025.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23000.00,215.95,228.25,104.70,123.80,119.00,123.80,204618.00,1184122.45,7568.95,2424375.00,120350.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23050.00,173.90,204.90,92.75,108.80,104.95,108.80,8053.00,46672.08,266.66,66000.00,-9200.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23100.00,164.95,182.95,81.55,95.50,94.00,95.50,50082.00,290686.75,1463.20,610550.00,-7100.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23150.00,151.90,160.65,71.00,82.65,81.30,82.65,7641.00,44411.42,189.13,88275.00,10700.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23200.00,124.00,142.55,61.55,71.95,69.00,71.95,74513.00,433871.11,1695.71,1096950.00,176000.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23250.00,117.00,124.55,53.85,63.15,60.65,63.15,15683.00,91430.31,272.87,192050.00,71625.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23300.00,97.40,108.50,46.60,54.25,53.00,54.25,65349.00,381705.21,1047.28,846875.00,38775.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23350.00,85.00,94.20,40.20,46.40,45.45,46.40,14089.00,82430.60,186.07,115850.00,43875.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23400.00,62.75,81.95,33.95,39.50,38.45,39.50,77398.00,453740.27,961.97,928775.00,108250.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23450.00,60.00,69.55,29.65,34.05,32.75,34.05,20773.00,122009.62,227.90,86275.00,-3500.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23500.00,55.60,60.20,25.85,29.75,27.15,29.75,156532.00,921056.27,1430.77,2576975.00,-20900.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23550.00,46.65,51.40,21.95,24.70,24.30,24.70,10582.00,62384.78,83.26,82175.00,4875.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23600.00,39.50,45.10,16.10,20.25,17.15,20.25,71862.00,424457.52,471.72,964800.00,106700.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23650.00,31.20,37.15,16.55,17.95,17.60,17.95,11236.00,66495.73,62.88,114000.00,18050.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23700.00,27.30,32.20,14.10,15.10,14.10,15.10,71091.00,421564.43,350.26,706200.00,10075.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23750.00,24.45,27.55,12.80,13.35,13.25,13.35,11408.00,67784.33,49.33,50050.00,-7825.00,22475.85
NIFTY,03-May-2024,30-May-2024,CE,23800.00,21.05,23.25,11.15,11.65,11.20,11.65,51341.00,305667.87,188.92,714050.00,73900.00,22475.85
